epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,12190.6,0.79106,1.58802,0.72222,1.2767,0.8951,0.89618,0.93669,0.73725,0.91377,0.91938,0.95486,0.68845,0.79832,1.51731,0.57118,1.28391,0.0005645,0.0005645,0.0005645
31,12789.7,0.57179,1.43112,0.47844,1.19165,0.92861,0.90411,0.9566,0.74229,0.92556,0.90845,0.94736,0.69714,0.82913,1.56539,0.54991,1.34154,0.000515,0.000515,0.000515
32,13090.5,0.5681,1.41714,0.43858,1.21051,0.92495,0.9004,0.9585,0.74798,0.93701,0.90411,0.94901,0.68387,0.80298,1.61739,0.555,1.31172,0.0004655,0.0004655,0.0004655
33,13658.7,0.55608,1.40325,0.41751,1.19051,0.94159,0.88324,0.95519,0.74508,0.93851,0.906,0.95597,0.68788,0.80358,1.56347,0.52859,1.2836,0.000416,0.000416,0.000416
34,13949.1,0.50697,1.34505,0.39331,1.13611,0.93347,0.92694,0.9616,0.76637,0.94803,0.92694,0.96131,0.68674,0.79578,1.54641,0.49929,1.29359,0.0003665,0.0003665,0.0003665
35,14430.6,0.49222,1.31189,0.36998,1.13814,0.93252,0.92694,0.96875,0.77655,0.93528,0.9238,0.96371,0.69461,0.74088,1.50939,0.48393,1.23968,0.000317,0.000317,0.000317
36,14749.5,0.48785,1.30511,0.35805,1.13086,0.92336,0.94064,0.97001,0.76801,0.92657,0.94521,0.96213,0.69161,0.74714,1.55348,0.46914,1.228,0.0002675,0.0002675,0.0002675
37,15236.4,0.45901,1.31175,0.35937,1.09453,0.93872,0.92694,0.97217,0.78383,0.93409,0.92237,0.96363,0.71127,0.72388,1.52215,0.45043,1.23337,0.000218,0.000218,0.000218
38,15525,0.46161,1.29615,0.34911,1.10644,0.92343,0.94521,0.96847,0.77206,0.93238,0.94521,0.95925,0.70172,0.74537,1.51327,0.48167,1.24502,0.0001685,0.0001685,0.0001685
39,16046.5,0.44901,1.26034,0.3355,1.09928,0.92244,0.94977,0.9705,0.77115,0.918,0.94521,0.96141,0.69822,0.76087,1.52277,0.46663,1.26272,0.000119,0.000119,0.000119
40,16753.2,0.43105,1.24145,0.32434,1.09347,0.96134,0.91781,0.97264,0.77325,0.96145,0.90868,0.9659,0.7039,0.749,1.5181,0.46092,1.24587,6.95e-05,6.95e-05,6.95e-05
