epoch,train_loss,bbox_mAP_0.5_0.95,bbox_mAP_0.5,bbox_mAP_0.95,mask_mAP_0.5_0.95,mask_mAP_0.5,mask_mAP_0.95
1,4.590465723570571,0.23651414952094826,0.4613870482233943,0.005339235846661589,0.30579189139002017,0.4797050348497466,0.0006600660066006602
2,3.4563492606562303,0.34842707897682795,0.5413522478695503,0.00462608689276717,0.359045254088472,0.5312387390477418,0.0
3,2.7105752847280846,0.3448451163543734,0.5618588701552384,0.0018010655946980353,0.35858598292782523,0.5454129945409566,0.0004400440044004401
4,2.3872952597687043,0.4060554282792728,0.5822877695135454,0.01021956882293811,0.417973696366419,0.5794765063887286,0.0073550212164073545
5,2.086960908698748,0.4241764146118148,0.6089561628967906,0.007609473755503122,0.43297887759421744,0.5947526394628861,0.005972025774005972
6,2.143632816442524,0.42015984428000563,0.6067961490958054,0.0037533165081214,0.4310655208282094,0.59998225804647,0.0022002200220022
7,2.128707901541009,0.44115406593997153,0.6089156803232119,0.011852165608717734,0.44551984779436266,0.602127220634242,0.009429514380009427
8,1.9860823531466794,0.44123418285549826,0.6087767050536618,0.011895367175116847,0.4473175835841912,0.602099113103539,0.009914857031921678
9,1.9543851432671029,0.44201830264348013,0.6084189171615723,0.013206485527992456,0.4481035304518973,0.6012966530046463,0.009333191383654493
10,1.9462534054575196,0.4430468738650909,0.6087614555510746,0.013222331604929942,0.449141719634521,0.6015002163780955,0.00934191779833721
11,1.9279583118048058,0.4434297229338007,0.6087283071250846,0.013257426373572287,0.44874098662476064,0.601530600332868,0.00934191779833721
12,1.963210977883224,0.4436325975778352,0.6088474226447668,0.013241085901901678,0.4486159294422262,0.6015283130164792,0.009333191383654493
13,1.964158554931721,0.44360324380141036,0.6088673774704381,0.013241085901901678,0.4486012467572621,0.6015700109377019,0.009333191383654493
14,2.179203909384199,0.4436206484304194,0.6088673774704381,0.013241085901901678,0.44860124945778196,0.6015283130164792,0.009333191383654493
15,1.9393052149967975,0.4435243796701825,0.6086638964700871,0.013241085901901678,0.44848156394131583,0.6013197040353496,0.009333191383654493
