epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.317,0.91767,1.90808,0.87153,1.35373,0.92016,0.89464,0.93153,0.71123,0.92118,0.89954,0.93249,0.62842,0.89262,1.79149,0.63578,1.3779,0.000662651,0.000662651,0.000662651
2,530.37,1.00511,2.12602,0.91025,1.42287,0.8751,0.83182,0.88288,0.57707,0.86103,0.82046,0.85728,0.499,1.15303,2.1154,0.86298,1.59996,0.00129642,0.00129642,0.00129642
3,787.263,1.11566,2.26654,1.01656,1.49028,0.80902,0.81279,0.86387,0.57529,0.7986,0.80822,0.85116,0.53098,1.16687,2.13014,0.88873,1.62586,0.00189718,0.00189718,0.00189718
4,1055.07,1.12666,2.23877,1.01634,1.50796,0.85568,0.81735,0.88224,0.59282,0.83501,0.80883,0.86242,0.5152,1.1257,2.10298,0.91621,1.60549,0.0018515,0.0018515,0.0018515
5,1352.5,1.06838,2.19028,1.00512,1.47288,0.31534,0.408,0.18818,0.08651,0.39462,0.41096,0.24084,0.08544,2.32894,3.15806,2.79316,3.90332,0.001802,0.001802,0.001802
6,1618.32,1.08806,2.30199,1.03848,1.48744,0.87563,0.87671,0.91063,0.63846,0.86166,0.86301,0.9061,0.58567,1.02304,1.8765,0.80086,1.49421,0.0017525,0.0017525,0.0017525
7,1933.03,1.05267,2.18844,0.97882,1.46265,0.88917,0.84263,0.92534,0.65954,0.84292,0.88213,0.91157,0.57878,0.96667,1.86411,0.76431,1.4486,0.001703,0.001703,0.001703
8,2263.59,1.06823,2.13684,0.97511,1.46864,0.80727,0.70776,0.78052,0.46392,0.80727,0.70776,0.78169,0.44374,1.28685,2.37626,1.04797,1.80305,0.0016535,0.0016535,0.0016535
9,2654.02,1.03193,2.10754,0.93993,1.44518,0.88139,0.88584,0.94349,0.70087,0.87685,0.88128,0.93614,0.61262,0.90381,1.84382,0.66226,1.37306,0.001604,0.001604,0.001604
10,2929.09,1.02473,2.09673,0.93405,1.42855,0.88606,0.85221,0.91133,0.65662,0.87756,0.84018,0.90127,0.58522,0.93443,1.9446,0.82199,1.41203,0.0015545,0.0015545,0.0015545
11,3230.08,1.01119,2.0901,0.92757,1.43247,0.88783,0.90355,0.92575,0.68629,0.88296,0.89569,0.91425,0.60992,0.96112,1.89906,0.71558,1.43903,0.001505,0.001505,0.001505
12,3514.82,1.02842,2.111,0.92881,1.44539,0.90203,0.86758,0.93472,0.68508,0.89253,0.85845,0.92646,0.61615,0.9236,1.78024,0.66011,1.38134,0.0014555,0.0014555,0.0014555
13,3853.51,1.02142,2.04765,0.93745,1.43279,0.84539,0.87671,0.91306,0.67445,0.8481,0.86301,0.90498,0.60127,0.93542,1.81984,0.77603,1.42041,0.001406,0.001406,0.001406
14,4126.65,0.97596,2.01383,0.90371,1.40831,0.89942,0.81669,0.91378,0.66649,0.84836,0.81746,0.89285,0.59666,0.95617,1.78235,0.73207,1.4132,0.0013565,0.0013565,0.0013565
15,4453.5,0.98577,1.97233,0.8837,1.40842,0.85493,0.89041,0.93036,0.70202,0.88419,0.85388,0.91653,0.60748,0.89433,1.9282,0.64774,1.35192,0.001307,0.001307,0.001307
16,4732.61,0.96392,1.96823,0.86182,1.38453,0.89008,0.88584,0.92961,0.67212,0.89052,0.88584,0.92731,0.62491,0.95759,1.76773,0.66788,1.40753,0.0012575,0.0012575,0.0012575
17,5064.9,0.95953,2.003,0.90407,1.38259,0.90458,0.86573,0.93302,0.69548,0.89517,0.85787,0.9183,0.6171,0.90825,1.83343,0.66689,1.37796,0.001208,0.001208,0.001208
18,5339.42,0.92071,1.92681,0.8511,1.37115,0.90662,0.88669,0.93677,0.70907,0.89753,0.87989,0.92286,0.6386,0.86626,1.73758,0.6151,1.35518,0.0011585,0.0011585,0.0011585
19,5660.07,0.95447,1.93575,0.87218,1.38306,0.88962,0.86758,0.92799,0.69236,0.88463,0.85845,0.91826,0.63596,0.8999,1.67292,0.73268,1.37283,0.001109,0.001109,0.001109
20,5927.32,0.93661,1.96458,0.85982,1.36832,0.91582,0.89954,0.95343,0.71707,0.90603,0.89041,0.94367,0.65353,0.9096,1.6888,0.56395,1.37439,0.0010595,0.0010595,0.0010595
21,6243.72,0.92875,1.9389,0.86403,1.36523,0.90135,0.86301,0.93303,0.71441,0.90834,0.86758,0.92945,0.63878,0.86639,1.74194,0.63856,1.34762,0.00101,0.00101,0.00101
22,6511.06,0.90149,1.87989,0.82374,1.33947,0.91061,0.83562,0.92894,0.71835,0.90564,0.83105,0.92519,0.64963,0.84914,1.7056,0.64243,1.33145,0.0009605,0.0009605,0.0009605
23,6879.09,0.88435,1.81561,0.8179,1.34497,0.87781,0.85388,0.92699,0.70237,0.88685,0.85388,0.91737,0.64398,0.84562,1.72626,0.6539,1.31626,0.000911,0.000911,0.000911
24,7620.07,0.90969,1.89454,0.81421,1.35472,0.84866,0.84497,0.90676,0.66456,0.81246,0.91324,0.92399,0.62215,0.92177,1.83743,0.69596,1.38198,0.0008615,0.0008615,0.0008615
25,7924.5,0.90749,1.78902,0.81388,1.34461,0.90722,0.89297,0.93875,0.71534,0.90506,0.89498,0.93531,0.64639,0.85975,1.71193,0.59158,1.3324,0.000812,0.000812,0.000812
26,8191.46,0.86448,1.85118,0.80778,1.33598,0.91607,0.89712,0.95156,0.73383,0.89665,0.90411,0.94099,0.65042,0.82612,1.63444,0.57634,1.30716,0.0007625,0.0007625,0.0007625
27,8507.68,0.87158,1.79508,0.78144,1.32852,0.89436,0.92782,0.95547,0.7441,0.89876,0.93238,0.95345,0.67268,0.82531,1.61341,0.56968,1.29111,0.000713,0.000713,0.000713
28,8779.59,0.85754,1.80883,0.77287,1.31552,0.89723,0.9169,0.94991,0.74207,0.88031,0.92237,0.94349,0.67053,0.78869,1.61699,0.5437,1.28385,0.0006635,0.0006635,0.0006635
29,9106.24,0.84841,1.77374,0.80172,1.32991,0.88862,0.92237,0.94305,0.73814,0.89853,0.92996,0.94539,0.65656,0.80908,1.64768,0.58804,1.28804,0.000614,0.000614,0.000614
30,9382.14,0.85608,1.77046,0.78542,1.31936,0.89344,0.89954,0.95096,0.74222,0.88439,0.89498,0.94919,0.67607,0.83038,1.61046,0.55573,1.29065,0.0005645,0.0005645,0.0005645
31,9671.69,0.68133,1.64559,0.54942,1.303,0.90097,0.87242,0.93629,0.72642,0.90562,0.87627,0.94357,0.66343,0.85928,1.68045,0.56883,1.3557,0.000515,0.000515,0.000515
32,9969.95,0.67172,1.59875,0.50193,1.30028,0.92616,0.87671,0.93978,0.73804,0.92522,0.89041,0.94672,0.67292,0.84565,1.68507,0.57218,1.32605,0.0004655,0.0004655,0.0004655
33,10243.6,0.66271,1.6423,0.49023,1.28888,0.93481,0.91665,0.95997,0.76161,0.9377,0.92694,0.95691,0.68557,0.81483,1.60289,0.50407,1.28883,0.000416,0.000416,0.000416
34,10510.2,0.61271,1.54653,0.45528,1.23317,0.91183,0.84997,0.93919,0.74104,0.91313,0.87215,0.9458,0.66205,0.81461,1.67018,0.53508,1.29963,0.0003665,0.0003665,0.0003665
35,10796.1,0.60988,1.53609,0.44354,1.24961,0.93283,0.91781,0.95897,0.76652,0.92819,0.91324,0.94605,0.6827,0.79428,1.58975,0.46816,1.29279,0.000317,0.000317,0.000317
36,11207.1,0.58059,1.50932,0.42575,1.22099,0.92935,0.91781,0.9591,0.76134,0.92935,0.91781,0.94827,0.67333,0.78773,1.60645,0.47733,1.2786,0.0002675,0.0002675,0.0002675
37,11728.7,0.58261,1.51637,0.42346,1.2014,0.92565,0.93151,0.96249,0.76947,0.92565,0.93151,0.95669,0.69345,0.80372,1.57961,0.46574,1.26187,0.000218,0.000218,0.000218
38,12005.7,0.57587,1.49158,0.41975,1.20066,0.93488,0.91775,0.9609,0.77226,0.93299,0.92237,0.95638,0.68402,0.79673,1.62511,0.46418,1.28829,0.0001685,0.0001685,0.0001685
39,12317.3,0.54244,1.44918,0.39464,1.18119,0.94325,0.92694,0.96478,0.77847,0.93381,0.92237,0.95739,0.69504,0.77511,1.58021,0.44994,1.27003,0.000119,0.000119,0.000119
40,12581.8,0.53244,1.43916,0.39067,1.18644,0.95275,0.90868,0.96174,0.77717,0.95275,0.90868,0.95649,0.69138,0.76648,1.57269,0.44657,1.25754,6.95e-05,6.95e-05,6.95e-05
